cluster,price,brokered_by
0,9950000.0,50363
1,1950000.0,49581
2,3721000.0,60141
3,20000000.0,79943
4,6500000.0,51997
5,675000.0,48012
6,3790000.0,27179
7,4000000.0,97166
8,6500000.0,43766
9,1995000.0,27264
10,3295000.0,84825
11,65000000.0,95161
12,6400000.0,25350
13,250000.0,47759
14,12899000.0,51327
15,3590000.0,21478
16,6490000.0,27760
17,7999999.0,9477
18,3675000.0,75576
19,3500000.0,47756
20,12300000.0,97168
21,2400000.0,89413
22,86000.0,59153
23,3900000.0,72290
24,3500000.0,73461
25,11200000.0,28898
26,4950000.0,30445
27,4400000.0,591
28,5250000.0,78885
29,12995000.0,20415
30,4595000.0,16445
31,13995000.0,38005
32,8290000.0,43766
33,4075000.0,81231
34,9950000.0,11209
35,12579100.0,69694
36,3649000.0,86485
37,6500000.0,11168
38,4200000.0,8019
39,5900000.0,20008
40,289999.0,98246
41,5350000.0,80269
42,1999900.0,33809
43,5990000.0,68053
44,5250000.0,30445
45,2499900.0,62361
46,5500000.0,20415
47,4250000.0,60522
48,27500000.0,96569
49,3495000.0,46699
50,8950000.0,80269
51,9888888.0,17526
52,6525269.0,11209
53,4400000.0,16448
54,7500000.0,30445
55,625000.0,74372
56,2898000.0,52904
57,4200000.0,37494
58,5100000.0,71391
59,1899000.0,73314
60,10850000.0,9296
61,3819595.0,47458
62,3636500.0,47458
63,27000000.0,49333
64,3500000.0,73001
65,2000000.0,70029
66,15500000.0,33997
67,2595000.0,30559
68,2788000.0,20415
69,4455000.0,81998
70,7950000.0,20360
71,4600000.0,50137
72,19995000.0,72290
73,8890000.0,65141
74,1595000.0,30445
75,3150000.0,89804
76,3910000.0,43906
77,3500000.0,36661
78,7000000.0,79153
79,2500000.0,64324
80,6450000.0,51057
81,19750000.0,24145
82,2449900.0,71117
83,10000000.0,63822
84,4630500.0,47458
85,2956000.0,32959
86,6495000.0,17525
87,4400000.0,53586
88,2995000.0,17868
89,3000000.0,87086
90,6150000.0,98951
91,2400000.0,77533
92,26785000.0,82538
93,8500000.0,13808
94,2750000.0,3025
95,5400000.0,59890
96,12000000.0,20415
97,2200000.0,15185
98,6100000.0,43248
99,4880000.0,73751
100,6000000.0,98951
101,6000000.0,47458
102,281500000.0,62770
103,3695000.0,57949
104,2850000.0,5935
105,5277700.0,87035
106,3295000.0,11589
107,8000000.0,20502
108,2900000.0,84152
109,15950000.0,24751
110,2300000.0,1100
111,6995000.0,46699
112,5298800.0,7314
113,7818187.0,92549
114,6975000.0,41870
115,3995000.0,97127
116,2500000.0,93026
117,1500000.0,36337
118,4900000.0,64599
119,4500000.0,54034
120,3950000.0,29079
121,26000000.0,69407
122,5495000.0,24925
123,3200000.0,17798
124,7950000.0,46699
125,2000000.0,43766
126,6500000.0,16383
127,5495000.0,94553
128,7900000.0,76562
129,6500000.0,75136
130,8000000.0,91810
131,5750000.0,47458
132,2400000.0,15162
133,6850000.0,83006
134,3500000.0,54751
135,4420000.0,46699
136,25000000.0,33777
137,4250000.0,12190
138,5750000.0,34693
139,6207500.0,55404
140,2950000.0,99169
141,19900000.0,20415
142,4630000.0,42103
143,3495000.0,91523
144,10881300.0,28196
145,10000000.0,31223
146,5200000.0,1100
147,6500000.0,20415
148,2500000.0,80270
149,2800000.0,26981
150,2499000.0,15009
151,5095000.0,1842
152,25000000.0,30199
153,7800000.0,54187
154,14990000.0,73519
155,8999900.0,19779
156,6900000.0,57628
157,4995000.0,30445
158,4999987.0,85276
159,4375000.0,43906
160,6750000.0,43766
161,8500000.0,74848
162,6900000.0,99122
163,16800000.0,60946
164,15000000.0,79689
165,2800900.0,27240
166,6150000.0,47759
167,8495000.0,30445
168,2495000.0,73751
169,8199888.0,16458
170,1900000.0,53586
171,1020000.0,41166
172,15550000.0,85043
173,13500000.0,96463
174,4599500.0,1100
175,2495000.0,94029
176,15250000.0,20008
177,9000000.0,30247
178,4990000.0,78885
179,3998950.0,7314
180,2749000.0,47458
181,4700000.0,36808
182,2950000.0,89167
183,4375000.0,46699
184,2249000.0,73623
185,12990000.0,90396
186,795000.0,34674
187,4499000.0,33961
188,4500000.0,47458
189,8700000.0,37643
190,7995000.0,54751
191,8395000.0,47961
192,1895000.0,3267
193,5195000.0,89730
194,7200000.0,7569
195,16800000.0,14372
196,3500000.0,77737
197,11500000.0,24818
198,3600000.0,49739
199,3495000.0,62770
200,3500000.0,84297
201,2195000.0,1100
202,7680000.0,93026
203,7295000.0,47458
204,6700000.0,9507
205,16495000.0,43906
206,3975000.0,97219
207,19750000.0,33997
208,3500000.0,17868
209,3250000.0,7702
210,8000000.0,6379
211,18250000.0,30247
212,9850000.0,70543
213,11995000.0,79145
214,3375000.0,46699
215,4750000.0,46699
216,22900000.0,9478
217,1200000.0,13780
218,12995000.0,41772
219,4999999.0,10690
220,2300000.0,7314
221,14995000.0,79453
222,3950000.0,71323
223,8800000.0,20761
224,4900000.0,95954
225,2500000.0,70430
226,5300000.0,14287
227,24000000.0,62360
228,3998000.0,74756
229,7200000.0,20415
230,5250000.0,73076
231,6495000.0,75775
232,9950000.0,97829
233,5000000.0,64599
234,14170000.0,73840
235,6000000.0,56132
236,6000000.0,52565
237,1899000.0,60615
238,1950000.0,83006
239,3599995.0,11209
240,9500000.0,52398
241,3590000.0,98951
242,3145000.0,46699
243,2000000.0,48983
244,9950000.0,47759
245,2999000.0,47759
246,11000000.0,27240
247,8100000.0,9493
248,16800000.0,9479
249,2595000.0,3242
250,12550000.0,9468
251,4250000.0,78885
252,2600000.0,36662
253,23000000.0,55521
254,3500000.0,28196
255,7795000.0,9502
256,8500000.0,21436
257,4250000.0,9504
258,10500000.0,50022
259,4495000.0,59500
260,6900000.0,93450
261,8500000.0,28898
262,3690000.0,41476
263,4275000.0,48291
264,5480000.0,97178
265,7999999.0,47756
266,5900000.0,88649
267,3844830.0,52904
268,9000000.0,1359
269,7650000.0,38650
270,3568750.0,71035
271,18500000.0,9477
272,8950000.0,16074
273,7000000.0,48805
274,2800000.0,3386
275,4416805.0,95206
276,9254805.0,87843
277,6750000.0,23801
278,2800000.0,97122
279,14500000.0,97231
280,4975000.0,24818
281,7500000.0,97166
282,3998000.0,20008
283,4950000.0,61284
284,1500000.0,78916
285,7995000.0,20360
286,6895000.0,61313
287,11500000.0,91810
288,5040000.0,47458
289,7900000.0,31184
290,4630500.0,65143
291,4000000.0,70291
292,2950000.0,43906
293,7950000.0,16445
294,7750000.0,3605
295,16250000.0,20354
296,21750000.0,21154
297,5500000.0,70483
298,4595000.0,43906
299,6499000.0,81998
300,3970000.0,91810
301,2550000.0,76714
302,9995000.0,27179
303,2513000.0,78885
304,3495000.0,76714
305,3950000.0,53707
306,2800000.0,43248
307,9750000.0,48049
308,3995000.0,62361
309,17000000.0,52916
310,7800000.0,2811
311,3999999.0,75934
312,1475000.0,73751
313,11498000.0,28196
